anio,mes,banco,activos,pasivos,patrimonio,carterabruta,depositos,utilidad,calificacion
2020,7,VISIONFUND,82.58,65.86,16,71.54,8.35,1,AA
2020,7,COMERCIAL DE MANABI,50,37.37,13,31.64,36.11,0,BB
2020,7,LITORAL,38.46,27.21,12,29.93,25.81,0,A
2020,7,DELBANK,31.23,20.19,11,21.24,17.67,0,A
2020,7,CAPITAL,23.16,15.33,9,11.91,12.94,-1,C
2020,8,PICHINCHA,11701.44,10410.89,1253,6935.91,9311.09,38,AAA
2020,8,PACIFICO,6257.81,5468.04,770,4216.31,4443.89,20,AAA
2020,8,GUAYAQUIL,5206.99,4688.64,502,3341.34,3921.98,16,AAA
2020,8,PRODUBANCO,5119.15,4659.93,450,3217.96,4045.25,9,AAA
2020,8,INTERNACIONAL,3799.71,3419.24,358,2341.08,3104.46,23,AAA
2020,8,BOLIVARIANO,3752.69,3405.11,328,2250.13,3041.35,19,AAA
2020,8,DINERS CLUB,2248.06,1790.98,440,1926.6,1239.41,17,AAA
2020,8,AUSTRO,1862.67,1663.38,192,1059.31,1591.12,7,AAA
2020,8,GENERAL RUMIÑAHUI,932.17,850.89,76,629.39,729.74,5,AAA
2020,8,MACHALA,793.27,729.93,62,504.51,705.84,1,AA
2020,8,SOLIDARIO,789.87,635.25,150,605.67,392.08,5,AA
2020,8,CITIBANK,581.81,500.62,77,236.1,472.17,4,AAA
2020,8,LOJA,515.22,453.54,60,318,427.52,2,AAA
2020,8,PROCREDIT,442.85,386.57,57,361.6,182.07,-1,AAA
2020,8,AMAZONAS,227.91,202.05,26,109.43,190.72,0,AA
2020,8,CODESARROLLO,181.77,158.48,22,148.59,122.87,1,C
2020,8,COOPNACIONAL,180.34,149.89,30,95.85,145.98,1,AA
2020,8,D-MIRO,111.54,88.77,22,82.59,33.72,0,A
2020,8,FINCA,85.2,71.31,15,59.9,54.46,-1,BBB
2020,8,VISIONFUND,84.29,67.05,16,73.54,9.41,1,AA
2020,8,COMERCIAL DE MANABI,49.87,37.24,13,31.13,35.79,0,BB
2020,8,LITORAL,38.27,26.98,12,29.24,25.53,0,A
2020,8,DELBANK,31.17,20.11,11,20.79,17.48,0,A
2020,8,CAPITAL,24.08,16.38,9,12.26,13.83,-1,C
2020,9,PICHINCHA,11706.79,10415.24,1252,6936.96,9333.26,40,AAA
2020,9,PACIFICO,6323.56,5532.1,770,4233.51,4534.88,22,AAA
2020,9,GUAYAQUIL,5310.56,4788.84,502,3368.57,4015.58,20,AAA
2020,9,PRODUBANCO,5096.58,4657.27,430,3243.47,4065.89,10,AAA
2020,9,INTERNACIONAL,3865.37,3483.98,358,2361.57,3174.36,23,AAA
2020,9,BOLIVARIANO,3774.4,3425.11,328,2238.39,3041.08,21,AAA
2020,9,DINERS CLUB,2260.13,1802.03,440,1939.07,1236.35,18,AAA
2020,9,AUSTRO,1897.62,1697.59,192,1069.96,1624.99,8,AAA
2020,9,GENERAL RUMIÑAHUI,910.48,828.97,76,625.17,716.11,6,AAA
2020,9,MACHALA,797.05,733.63,62,509.01,710.04,2,AA
2020,9,SOLIDARIO,775.72,624.97,150,605.66,390.58,1,AA
2020,9,CITIBANK,650.95,566.41,80,207.96,514,4,AAA
2020,9,LOJA,512.25,450.52,60,320.41,427.97,2,AAA
2020,9,PROCREDIT,465.44,408.6,57,372,198.17,-1,AAA
2020,9,AMAZONAS,231.79,205.92,26,107.26,195.23,0,AA
2020,9,COOPNACIONAL,182.68,152.15,30,92.69,148.53,1,AA
2020,9,CODESARROLLO,181.46,157.98,22,149.57,123.57,1,C
2020,9,D-MIRO,111.85,89.9,23,82.62,34.63,-1,A
2020,9,FINCA,86.16,72.23,15,59.61,55.17,-1,BBB
2020,9,VISIONFUND,84.88,67.38,16,75.53,9.65,1,AA
2020,9,COMERCIAL DE MANABI,50.26,37.63,13,30.66,36.23,0,BB
2020,9,LITORAL,38.2,26.97,12,28.82,25.59,0,A
2020,9,DELBANK,31.39,20.33,11,20.23,17.76,0,A
2020,9,CAPITAL,24.72,17.26,9,11.8,14.79,-2,C
2020,10,PICHINCHA,12365.19,11070.58,1253,7006.01,9810.12,42,AAA
2020,10,PACIFICO,6494.73,5701.74,770,4242.12,4726.54,23,AAA
2020,10,GUAYAQUIL,5501.24,4976.2,502,3338.48,4122.15,23,AAA
2020,10,PRODUBANCO,5207.72,4767.73,429,3312.05,4175.25,11,AAA
2020,10,INTERNACIONAL,3892.54,3508.49,358,2351.94,3203.79,26,AAA
2020,10,BOLIVARIANO,3831.13,3479.42,329,2259.07,3077.69,23,AAA
2020,10,DINERS CLUB,2243.43,1784.73,440,1951.42,1215.21,19,AAA
2020,10,AUSTRO,1937.56,1736.42,193,1078.12,1662.53,8,AAA
2020,10,GENERAL RUMIÑAHUI,937.07,855,76,627.07,743.3,6,AAA
2020,10,MACHALA,819.51,755.86,62,514.76,730.89,2,AA
2020,10,SOLIDARIO,771.27,620.45,150,601.38,389.65,1,AA
2020,10,CITIBANK,625.3,539.48,81,217.9,497.64,5,AAA
2020,10,LOJA,524.03,464.36,57,321.74,439.81,2,AAA
2020,10,PROCREDIT,464.88,407.64,57,376.89,196.89,0,AAA
2020,10,AMAZONAS,239.73,213.78,26,104.06,203.06,0,AA
2020,10,CODESARROLLO,190.92,167.68,22,150.96,133.3,1,C
2020,10,COOPNACIONAL,183.54,153.01,30,93.85,149.18,1,AA
2020,10,D-MIRO,113.88,91.96,23,82.89,34.99,-1,A
2020,10,FINCA,87.35,73.35,15,60.64,56.48,-1,BBB
2020,10,VISIONFUND,85.64,67.92,16,76.72,10.13,2,AA
2020,10,COMERCIAL DE MANABI,52.27,39.64,13,30.83,38.31,0,BB
2020,10,LITORAL,38.37,27.1,12,28.54,25.73,0,A
2020,10,DELBANK,31.78,20.73,11,19.78,18.05,0,A
2020,10,CAPITAL,26.35,19,9,12.06,16.53,-2,C
2020,11,PICHINCHA,12071.05,10774.32,1252,7090.32,9520.74,45,AAA
2020,11,PACIFICO,6633.29,5844.59,764,4299.51,4853.29,25,AAA
2020,11,GUAYAQUIL,5583.26,5054.26,503,3427.98,4215.52,26,AAA
2020,11,PRODUBANCO,5265.07,4826.39,424,3353.08,4182.5,15,AAA
2020,11,INTERNACIONAL,3925.09,3539.02,358,2339.66,3223.53,28,AAA
2020,11,BOLIVARIANO,3845.78,3492.56,328,2270.9,3105.42,25,AAA
2020,11,DINERS CLUB,2249.32,1789.25,440,1977.17,1193.89,20,AAA
2020,11,AUSTRO,1966.98,1764.03,194,1089.49,1687.23,9,AAA
2020,11,GENERAL RUMIÑAHUI,908.71,826.25,76,631.43,731.94,7,AAA
2020,11,MACHALA,823.73,760.01,62,518.57,735.01,2,AA
2020,11,SOLIDARIO,771.82,620.85,150,604.21,390.53,1,AA
2020,11,CITIBANK,621.96,544.64,72,214.3,475.32,5,AAA
2020,11,LOJA,522.27,462.42,57,324.41,437.6,2,AAA
2020,11,PROCREDIT,465.17,409.92,57,382.48,205.15,-2,AAA
